Transaction Hash,Original Gas Used,"EVMPatch (Success, Gas used)","SmartShield (Success, Gas used)","Elysium (Success, Gas used)"
0xb1f868eaa32709f2ebf80a26d24b4b991ac7202b40c13fb4964fc802533ed860,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x508b9706f54b46d8a6dd63e365f18186ae7e99fe6ad876f937e53730c5786fc5,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xab2e04edb0c03b8a1e3cf2da98597d868fcca44fba69c38e064146c46f4926b0,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x0387de5482363535d4589fa465eb46831a8192f360a49065ff198d810750818c,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x4b130fff7c0ae93cbcac7d7beb974d6867900384c2764bfe78afaf55e45e9dcc,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x141549609cde44f90d7dca621287c17b697fdd7cdd81dfec47dd9e9470261977,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x87e39d9633a8e7645b7b85476977442425ac5774399eae7c11ae3058fbb96ff4,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x7733f2185d139d2f856cd7cb9ed7f1a2a0b49ef7abe2bc0a1ac58d012dd89476,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xac01a3f0649eb5d4c71d141221c660b3d9ef3bff1f62c5526a41363c67bcfd45,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x18e698df043f6f4d36e3b17df5c8a9b7835fbb3453238c16e86299abc04833ff,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x5f3006eef4aa52226341eb07f619a4f7353890412fad66882e5e1b169d939da5,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x292401b752551eb03a9757017a94cfbc72f2887740e1126945431ed08a24ab10,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xea4a2cd751b0b2340d188852846010455d455849dabf9e279b285eb124c1a90d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x5c03271a121bac1ca34952346f1fbc440741dc18160b15cf1f17fbb8dfa243a0,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xe07860522c6e84e9602bc128c2fca0dab41c72a3cd1772cd5f934ded0efece94,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x843e32d8db9411bda0c55f3bb0d85c71425a5e02189021bcf05bf927627ce44d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x23e79b2d7ae756aeb219c07dd4af2974bc0587c7bc0f4eee576cbde830a116a0,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x2bd8f4abc636c8fd216dcfcd5b4615560b4bf629839198ba7f3135709627287c,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xc57690986236363eecc86aaa6084cc2bc6c1811af675733c94b02a3507d468af,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xcd863dd8b7aadd89c6c214399d6b31ec13b2f960de023ce0c09bdd0364681c8b,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xc8fb5fa85940cafacde34592b1eee9091cef5bd6f06b8c1afc2acfbfb530ba3a,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x92d530cc197fb7387223500a8f4d7ccf1315ee2146cdc1c5f7dbf9b93ed5b44c,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x2572f18ff8c1ef819982f48636cbe303f2e60f703f212b72c7483af8258106c9,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x57443f931e979dc8010479a8fb4a22c91532daba3bee1832148f0dde0fc36d4c,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0xe9589813e2c551fd3509ae7794f773d3ca058c0e6c1977c5a3aaedb496fb65cd,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0xf1ecaab95adf6b8bce2e15273327143e844a48b2c50905076de2b62653365312,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x7f20a004294b5f79571305f3c2913cb19bc22a2d867efae241e017788f26263e,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x1439fc015f275cdbaa7a0568ef30a38fac86ecf9df80b92e00b24d5bbaa6fb66,14372,"(True, 14372, None)","(True, 14372, None)","(True, 14372, None)"
0x5773f89cee34224bdbe0c50c2cb3154550cf9dc1b70b6a23e27d9632746173c0,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
0x4e2de96406842685b8673b45dfa931d0f794cfe01cb0be7819a52f43e4db184d,29372,"(True, 29372, None)","(True, 29372, None)","(True, 29372, None)"
