Transaction Hash,Original Gas Used,"EVMPatch (Success, Gas Used, Error)","SmartShield (Success, Gas Used, Error)","Elysium (Success, Gas Used, Error)"
0xa6ff8ed225876252e19018a6cf1d542ad34b56f84aa5d4286bba2ff6cf3cded8,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x9e1714b78422b2aba24dfd6112450a309d646b93f5db664e4f0b7f4367b60418,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x09ee98310c0868508f70fbc764acc8fc8d2ff6bd9e2a3fdc0cc9db71658cef7d,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x6fb52f53493208bb30a97af0683ee8442a5202517511795d0d689339b91cbd4e,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x8a4adb4c324d84b892f64df7c16ee6a0d48af93178aa5e402bbc0f1d1ff18acb,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x2d7792afacf0be4e52b99640c8581efcec16538079259c8f0026f40f1da656a5,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0xaaf497482e4df76e871494c04d26994b343e39ea6079c3433e340dd4ea9a8e5d,22821,"(True, 22821, None)","(True, 22821, None)","(True, 22821, None)"
0x3ea0c1769742fe72c93ddc84c25d671a2c023c0b96793dac854d9f0cd2596d07,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x15db520389d7d4da0458b29749dae65d8d29e752659a4d227c3c112c9d8f4250,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x30c3d35db218740790b7b6d10e8f8123a2066de9a695fa0b94637d34ad3c44f1,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0x3b23da3dc280236f8031db56e3895fa8115e2fc5ae9addda127a23c2a4f76536,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xa275f1d65335d6e2aed5718edaf77e2e65e3a70f726df07e2c10f823fb2009c3,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x0090375189377852b2659642bf9e58f411ac692257531783bf404edee0c0ca06,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0x042705ff9098fed7995ef61e2414e88862576ef60982413d3c68ca6123c5f9fe,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x82b9cfcc083ca3ed3c1027b234605294d442a253e131e82a4d4bf685ee6dc7ed,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x600db87c1858c4711df61f474386164dabec2bfc55e44ac88b658fb7c0257bc8,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xaf83bea614c469107eda8232458497ef5c7902cd8ecc86298274f7644300255e,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x05392017c60a55aa931ec63e46f932e3d24691127d471f3cee51bbf69213d504,25915,"(True, 26035, None)","(True, 26076, None)","(True, 26005, None)"
0x0531fd2a66252d5e5764cd0ff285200abe72e47c6addcf348071571966b0446f,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x125e76dfb285dc0037550632e8509817d2da5b44a495161c8c3fec51b8be3aa5,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x40b9cba3e0bbf6c21af02f812c04ed7e5b640f7f180f41dd951a61e696393bb7,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x46ff752a39f8c00641e0d4b2c6f47293f3d0664bab624fd21f8486bd51b12637,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x96ed21396882cccc04e93b713402bfb0895e7bcd1e5c2b407c620287bb7cb47a,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0xcf6127d9b3b1490b49c37f8d429beb0056215e72ab102ed81b813cff820f2b78,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x8c169cf94b01dcf85cf634850e3979f6083d75e6abdf952056f1a2b869c499aa,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
0x42f9115be8b7245f3ca5913de484e1f9b24b03fb8ad6a60cbab8f6afd8872302,40915,"(True, 41035, None)","(True, 41076, None)","(True, 41005, None)"
